Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
051.00521,TEREOS France,2011,Air,Oxydes d'azote (NOx/NO2),319000,kg/an
051.00521,TEREOS France,2011,Air,Protoxyde d'azote (N2O),10600,kg/an
051.00521,TEREOS France,2011,Air,CO2 Total d'origine non biomasse uniquement,245000000,kg/an
051.00521,TEREOS France,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),438000000,kg/an
051.00521,TEREOS France,2011,Air,CO2 Total d'origine biomasse uniquement,193000000,kg/an
051.00521,TEREOS France,2011,Eau (direct),Demande biologique en oxygène (DBO5),45700,kg/an
051.00521,TEREOS France,2011,Eau (direct),Demande chimique en oxygène (DCO),322000,kg/an
051.00562,MBK INDUSTRIE,2011,Air,Composés organiques volatils non méthaniques (COVNM),36100,kg/an
051.00567,POMLY,2011,Air,Hydrochlorofluorocarbures (HCFC),100,kg/an
051.00611,Centre Hospitalier de Saint - Quentin,2011,Eau (indirect),Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq),0.03,kg/an
